NOMBRE,OCURRE
"MARIA","9002"
"GUADALUPE","2393"
"ROSA","1356"
"MARTHA","1268"
"ANA","1235"
"PATRICIA","1125"
"LETICIA","979"
"ELENA","917"
"LAURA","870"
"ELIZABETH","811"
"ISABEL","777"
"ALICIA","761"
"MARGARITA","744"
"LUZ","741"
"ANGELICA","713"
"CLAUDIA","707"
"SILVIA","662"
"NORMA","660"
"JUANA","654"
"GABRIELA","633"
"ADRIANA","624"
"VERONICA","616"
"TERESA","593"
"ALEJANDRA","592"
"ALMA","582"
"BEATRIZ","566"
"MARIA DEL CARMEN","555"
"YOLANDA","548"
"BLANCA","524"
"SANDRA","519"
"ARACELI","498"
"IRMA","495"
"GLORIA","495"
"CARMEN","452"
"LUISA","433"
"ROCIO","429"
"CONCEPCION","423"
"CRISTINA","398"
"EDITH","389"
"ESTHER","380"
"LILIA","378"
"LORENA","378"
"MAGDALENA","348"
"CECILIA","341"
"JOSEFINA","337"
"DOLORES","336"
"KARINA","329"
"LUCIA","328"
"ESTELA","328"
"SUSANA","326"
"MARIBEL","325"
"MARIA DE LOS ANGELES","323"
"LOURDES","322"
"ERIKA","312"
"MONICA","307"
"MARIA DEL ROSARIO","301"
"DIANA","300"
"EUGENIA","296"
"MARIA DE LOURDES","294"
"MARIA DE JESUS","287"
"FRANCISCA","287"
"VIRGINIA","280"
"LILIANA","277"
"GRACIELA","275"
"BERTHA","274"
"OLGA","269"
"MIRIAM","267"
"FABIOLA","265"
"DELIA","265"
"CAROLINA","264"
"KARLA","262"
"HILDA","261"
"ANTONIA","248"
"MARICELA","247"
"SONIA","244"
"NANCY","244"
"BERENICE","243"
"YADIRA","239"
"MAYRA","236"
"JUDITH","232"
"MARISOL","229"
"ROSARIO","228"
"REYNA","219"
"AURORA","219"
"OLIVIA","218"
"RAQUEL","218"
"IRENE","218"
"ELVIRA","214"
"CATALINA","213"
"LIDIA","213"
"VICTORIA","213"
"DULCE","204"
"ISELA","202"
"SARA","193"
"MARCELA","189"
"ELVIA","186"
"ESPERANZA","183"
"GUILLERMINA","181"
"DORA","179"
"EVA","179"
"JULIA","177"
"ELSA","174"
"ESMERALDA","174"
"BRENDA","174"
"SOCORRO","173"
"GEORGINA","173"
"MERCEDES","172"
"SOFIA","169"
"NOEMI","164"
"CELIA","162"
"MARIA DEL SOCORRO","156"
"MARIA DE LA LUZ","156"
"MINERVA","156"
"NORA","155"
"GRISELDA","154"
"ELIA","153"
"ROSALBA","150"
"IMELDA","149"
"IVONNE","149"
"MARINA","146"
"RUTH","145"
"LIZBETH","145"
"MIREYA","144"
"SOLEDAD","143"
"CLARA","141"
"OFELIA","141"
"INES","139"
"AIDA","138"
"XOCHITL","138"
"REBECA","136"
"ELISA","131"
"MIRNA","128"
"CRUZ","128"
"JESUS","127"
"LIZETH","127"
"PERLA","126"
"YAZMIN","125"
"JULIETA","121"
"ANGELA","120"
"ELVA","119"
"FLOR","118"
"AZUCENA","118"
"SELENE","116"
"MARIA DEL ROCIO","113"
"EMMA","111"
"ADELA","110"
"YESENIA","109"
"MARIA DEL PILAR","109"
"ANDREA","108"
"MARIANA","103"
"ROSALIA","103"
"JAZMIN","102"
"ANGELES","101"
"PAOLA","101"
"NOHEMI","99"
"NATIVIDAD","99"
"MARISELA","98"
"TRINIDAD","98"
"NELLY","98"
"TERESA DE JESUS","96"
"LEONOR","96"
"CONSUELO","95"
"AMPARO","94"
"PAULA","94"
"ANABEL","92"
"ALBA","92"
"JESSICA","91"
"MARTINA","89"
"MARLENE","89"
"TANIA","87"
"PETRA","87"
"LUCILA","85"
"JANET","84"
"CANDELARIA","84"
"AMALIA","84"
"VANESSA","83"
"ELOISA","82"
"NADIA","82"
"HORTENCIA","81"
"NAYELI","80"
"EVANGELINA","80"
"ORALIA","79"
"DALIA","78"
"ANTONIETA","78"
"JANETH","77"
"HERMELINDA","76"
"EMILIA","76"
"ANGELINA","75"
"KAREN","75"
"MICAELA","75"
"ARACELY","74"
"EVELIA","73"
"MARIA DEL REFUGIO","73"
"ABIGAIL","72"
"AMELIA","72"
"LUCERO","72"
"RUBI","72"
"IVETTE","72"
"RITA","71"
"ELDA","71"
"IRIS","71"
"MATILDE","71"
"IDALIA","71"
"ARELI","71"
"VIOLETA","70"
"RAMONA","70"
"MANUELA","70"
"CYNTHIA","70"
"ITZEL","69"
"VIRIDIANA","69"
"ENRIQUETA","69"
"DANIELA","69"
"GISELA","68"
"AMERICA","67"
"EDNA","67"
"PAULINA","66"
"ELBA","66"
"ROSALINDA","66"
"AIDE","65"
"NIDIA","64"
"ASUNCION","64"
"MONSERRAT","62"
"MARITZA","62"
"GLADYS","62"
"NATALIA","60"
"ERENDIRA","60"
"MARTA","60"
"ERNESTINA","59"
"ESTHELA","59"
"ROSAURA","59"
"TOMASA","58"
"WENDY","58"
"FATIMA","58"
"ARELY","57"
"MARIELA","57"
"NALLELY","56"
"ILIANA","56"
"GENOVEVA","55"
"ENEDINA","55"
"SANTA","55"
"HERLINDA","54"
"TERESITA","54"
"AURELIA","52"
"DENISSE","52"
"ANEL","52"
"PILAR","52"
"ALEJANDRINA","51"
"AGUSTINA","51"
"LUCINA","51"
"YANET","51"